kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
6311681,"K01122.01","FALSE POSITIVE",0.844786082,134.216987
6365321,"K01123.01","FALSE POSITIVE",0.848483947,133.585301
6301035,"K01124.01","FALSE POSITIVE",11.99097576,143.28437
3859079,"K01199.01","CONFIRMED",53.5292702,147.86464
3557493,"K01200.01","FALSE POSITIVE",0.393726813,133.310396
4061149,"K01201.01","CONFIRMED",2.757584622,133.05017
3444588,"K01202.01","CONFIRMED",0.928310036,133.80358
8394721,"K00152.03","CONFIRMED",13.48457668,136.61808
3962243,"K01203.01","CONFIRMED",31.8841473,160.20696
10743597,"K00989.03","CANDIDATE",16.15811112,143.00233
10015516,"K00990.01","FALSE POSITIVE",67.69213907,138.534171
10154388,"K00991.01","CONFIRMED",12.06222962,138.22229
1432789,"K00992.01","CONFIRMED",9.93146307,136.49128
1718189,"K00993.01","CONFIRMED",21.85362905,144.32031
5880320,"K01060.04","CONFIRMED",8.19345065,138.99617
5130369,"K00140.01","FALSE POSITIVE",19.97867,137.17061
6037187,"K01061.01","CONFIRMED",41.8059544,142.81919
6147122,"K01062.01","FALSE POSITIVE",15.45158184,142.21096
8257407,"K01063.01","FALSE POSITIVE",89.698168533,176.3060152
8218274,"K01064.01","FALSE POSITIVE",1.187352427,133.465454
